model,target_season,min_tbf_eval,rmse,mae,r2,rmse_bfw,mae_bfw,bias,n,fold_weights
M0_league_average,2023,0,0.06864125737866791,0.05194918578633595,-3.206537401823084e-06,0.05450720454054577,0.04282277581609275,-0.0001229143783665868,630,"(1.0, 0.8, 0.6)"
M1_last_season_kpct,2023,0,0.06810136612431357,0.0480330170952381,0.015665788108528256,0.05132116834713505,0.037454485141523344,0.0005448514126984121,630,"(1.0, 0.8, 0.6)"
M2_marcel_flat_prior,2023,0,0.05889509119783382,0.04215492436615677,0.26381133045729754,0.04219557777031422,0.03205317429970141,-0.006006084713862302,630,"(1.0, 0.8, 0.6)"
M3_eb_stuff_prior,2023,0,0.05869779723314709,0.04225786059660003,0.26873541827971203,0.04248085444892952,0.0321823532874236,-0.007394989882876214,630,"(1.0, 0.8, 0.6)"
M4_ridge,2023,0,0.059304935885955236,0.04299945699857865,0.25352956202027255,0.04389690434997165,0.033899517083309724,-0.010570391853143759,630,"(1.0, 0.8, 0.6)"
M5_lightgbm,2023,0,0.059191123774412796,0.04289824562949101,0.2563919158741351,0.04454199497035196,0.0342838777499808,-0.008841150948409584,630,"(1.0, 0.8, 0.6)"
M6_blend_eb_ridge,2023,0,0.05871010476893062,0.042322435820212424,0.2684287284555241,0.04270309379505822,0.032629515968208817,-0.008982690868009987,630,"(1.0, 0.8, 0.6)"
M0_league_average,2023,50,0.058152845511825424,0.045377863250823554,-0.009998456083923024,0.05368424306625431,0.042310105929914736,-0.005785982117468696,536,"(1.0, 0.8, 0.6)"
M1_last_season_kpct,2023,50,0.05691976540079631,0.04179403320895523,0.03237969736281532,0.050108725069854525,0.0368468934456013,0.001348727388059701,536,"(1.0, 0.8, 0.6)"
M2_marcel_flat_prior,2023,50,0.04555989892155239,0.03475032052882578,0.38006768813092306,0.04097656487033285,0.03144242842106726,-0.008689628413685686,536,"(1.0, 0.8, 0.6)"
M3_eb_stuff_prior,2023,50,0.046065331228566896,0.035162491477005446,0.36623658415332294,0.04133160379500113,0.031596483559332485,-0.008986260106849244,536,"(1.0, 0.8, 0.6)"
M4_ridge,2023,50,0.04715202165953746,0.036282747266834246,0.33598268338178705,0.04285999469507174,0.033366153906460506,-0.01343545914113889,536,"(1.0, 0.8, 0.6)"
M5_lightgbm,2023,50,0.047167058746991807,0.0361330017288286,0.3355590969380913,0.04353608055050039,0.03375573024760023,-0.011863839916897757,536,"(1.0, 0.8, 0.6)"
M6_blend_eb_ridge,2023,50,0.04623840726909606,0.03537686626459191,0.3614653029653072,0.04159594783007485,0.032065022101938304,-0.011210859623994068,536,"(1.0, 0.8, 0.6)"
M0_league_average,2023,100,0.057093250194791736,0.044823813363947515,-0.03934192778278578,0.0532927951641506,0.042089070652939875,-0.01110793582223774,443,"(1.0, 0.8, 0.6)"
M1_last_season_kpct,2023,100,0.054710681701324766,0.0396241832054176,0.045593990115516125,0.049426276578358554,0.036257495823059226,-0.0001992556659142208,443,"(1.0, 0.8, 0.6)"
M2_marcel_flat_prior,2023,100,0.043649302157952506,0.033499607119367766,0.39250386008881544,0.04042640870630515,0.031099796796931305,-0.012070363041905154,443,"(1.0, 0.8, 0.6)"
M3_eb_stuff_prior,2023,100,0.04414266349960613,0.03378015038057674,0.3786933791597217,0.04075215225082292,0.031202866623623562,-0.012441979421898251,443,"(1.0, 0.8, 0.6)"
M4_ridge,2023,100,0.04543569137804936,0.03516685534861404,0.3417616294200634,0.042353063206078755,0.033060858474593606,-0.01803714906015486,443,"(1.0, 0.8, 0.6)"
M5_lightgbm,2023,100,0.04560409001388174,0.03506859458037608,0.33687331999709047,0.04309148986308215,0.03348410817040569,-0.015422300003639451,443,"(1.0, 0.8, 0.6)"
M6_blend_eb_ridge,2023,100,0.04437725844076044,0.034074691278796074,0.3720719981634081,0.0410360547400565,0.03170109449753495,-0.015239564241026557,443,"(1.0, 0.8, 0.6)"
M0_league_average,2023,200,0.05613344515380404,0.04458979627824759,-0.07312707824589171,0.052562736667628875,0.041763938100981175,-0.014653292933922141,336,"(1.0, 0.8, 0.6)"
M1_last_season_kpct,2023,200,0.05318093585948268,0.03855300866071429,0.0367928235692867,0.04813601508897013,0.03547288739316526,-0.003508208482142857,336,"(1.0, 0.8, 0.6)"
M2_marcel_flat_prior,2023,200,0.043310601491995164,0.03311731582020751,0.3611539868910816,0.03996020660393411,0.030719693367543214,-0.014310780758733575,336,"(1.0, 0.8, 0.6)"
